first_name,last_name,birth_date,sex
Hercules,Baer,10/12/1964,M
Hercules,Biron,10/17/1957,F
Hercules,Birge,12/24/1964,F
Hercules,Berstel,4/5/1954,F
Hercules,Bernatsky,8/27/1954,M
Hercules,Bail,8/14/1961,F
Hercules,Bodoff,2/13/1959,M
Hercules,Benantar,7/20/1963,F
Hercules,Basagni,3/1/1954,M
Hercules,Bernardinello,9/3/1964,F
Hercules,Baranowski,11/17/1954,M
Hercules,Bisiani,2/27/1962,F
Hercules,Benzmuller,11/27/1953,M
Hercules,Bahr,10/17/1957,M
Hercules,Biran,8/28/1954,F
Hercules,Bain,7/16/1952,F
Hercules,Brendel,7/31/1964,F
Hercules,Buchter,8/14/1964,M
Hercules,Barreiro,7/6/1960,M
Hercules,Baak,10/15/1960,M
